REPORTE GESTION DE LOCALIZACION DE BOLSINES IDA 05/12/2017 10:58

EVENTO: BOLSINES GENERADOS EN ACARA - Destino: REGISTRO AUTOMOTOR

desde 04/12/2017   hasta 04/12/2017

CODIGO DESTINO;TIPO DESTINO;DESCRIPCION DESTINO;USUARIO EVENTO;FECHA/HORA EVENTO;ID T&T;NRO.PRECINTO;FACTURA(INTERNO ACARA);PESO ACARA;PESO MAILROOM;ULTIMO ESTADO EN VEDIA;NRO.GUIA
1034;R;GENERAL LA MADRID;VERDES;04/12/2017 11:45:24;PP030416130AR;986674;C201700245503;0,995;1,010;EXPEDIDO;18973
1034;R;GENERAL LA MADRID;PACK;04/12/2017 11:50:59;PP030416979AR;512304;B201700003952;0,885;0,820;EXPEDIDO;18970
1034;R;GENERAL LA MADRID;PACK;04/12/2017 11:51:47;PP030417033AR;174392;A201700020099;2,105;2,030;EXPEDIDO;18970
1034;R;GENERAL LA MADRID;0KM;04/12/2017 15:00:36;PP030427852AR;1561570;C201700240096/7;0,570;0,470;EXPEDIDO;18979
1035;R;GENERAL MADARIAGA 01 A     (B);0KM;04/12/2017 15:02:32;PP030428036AR;1561564;C201700238210/40235;0,450;0,360;EXPEDIDO;18979
1036;R;GENERAL PINTO 01 A MAVI    (B);0KM;04/12/2017 15:02:15;PP030428019AR;1676244;C201700238090/41082;0,670;0,755;EXPEDIDO;18979
1037;R;GENERAL VILLEGAS 01        (B);VERDES;04/12/2017 11:47:26;PP030416554AR;986620;C201700245504;2,725;2,845;EXPEDIDO;18973
1037;R;GENERAL VILLEGAS 01        (B);PACK;04/12/2017 11:52:54;PP030417135AR;512340;A201700020100;3,450;3,405;EXPEDIDO;18970
1037;R;GENERAL VILLEGAS 01        (B);0KM;04/12/2017 15:00:52;PP030427870AR;1561569;C201700239103/40098;0,565;0,490;EXPEDIDO;18979
1038;R;GONZALEZ CHAVEZ 01 A;0KM;04/12/2017 15:01:04;PP030427897AR;1561568;C201700239104;0,640;0,585;EXPEDIDO;18979
1039;R;GUAMINI 01 A               (B);0KM;04/12/2017 15:01:13;PP030427910AR;1561567;C201700241083;0,180;0,100;EXPEDIDO;18979
1040;R;HENDERSON 01 A             (B);VERDES;04/12/2017 13:26:21;PP030418833AR;986208;C201700245505;1,005;1,025;EXPEDIDO;18973
