23,22/01/2015,14:30,15:30,1:00,0,1,Mantenimiento,Mantenimiento: Seguimiento de Remitos RI-2010-1466 y 1467 pod diferencia de Stock 360 Unidades Prod. 12
23,23/01/2015,9:00,14:00,5:00,5,0,Desarrollo,Programación de Facturación Individual de Pedidos en Forma Automática de Pedidos Con cheque en ACARA. 
23,23/01/2015,,,,,0,,Nuevo Estado para Pedidos conm Cheque en ACARA. 
23,23/01/2015,,,,,0,,Job. Para Actualizacioón Automatica de Estados
24,26/01/2015,10:00,15:00,5:00,0,5,Mantenimiento,Cambio de Logica en Login de Usuarios en Internet para determinar si visiualiza o no la opciòn de compra para formularios y aduana. 
24,26/01/2015,,,,,0,,"Cambio de Logica en wacafac. Login para direccionar a opciones de ""CONSULTA"" "
24,26/01/2015,,,,,0,,para permitir el ingreso a Usuarios de Ventas durante la facturaciòn automàtica. 
24,26/01/2015,,,,,0,,"Nuevo Ente ""Rio Gallegos "" ""G"" para asociar a form 13 (v3A y V3) para la venta de "
24,26/01/2015,,,,,0,,formularios por web en opciòn de Cheques en ACARA. 
24,26/01/2015,,,,,0,,Cambio de Logica en Store Procedure Asociado al Item anterior.
23,27/01/2015,9:30,10:30,1:00,0,1,Mantenimiento,Control de Duplicados. 
23,27/01/2015,10:30,15:30,5:00,5,0,Desarrollo,Logica para Descargar Archivo de Informaciòn de Suministros de Cedulas Solo para Consumo. 
23,27/01/2015,,,,,0,,Pruebas y Control de Cedulas con Base de Ventas
24,28/01/2015,10:00,14:00,4:00,,4,Mantenimiento,Nuevo Job Para Importar Bancos a Web para actualizar Datos. 
24,28/01/2015,14:00,16:00,2:00,0,2,Mantenimiento,Cambio de Logica en Reporte de Impresòn de Facturas para considerar Cod. De Barras 
24,28/01/2015,,,,,0,Mantenimiento,instalados en Entorno Windows 7. 
24,28/01/2015,,,,,0,Mantenimiento,Rev. De Logica de Flete
23,29/01/2015,14:00,18:00,4:00,4,0,Desarrollo,Ajustes Finales en Stores Relacionados con Pedidos de Cheque en ACARA. 
23,29/01/2015,,,,,0,,Se Finalizó logica de Conrol de Usuarios Conecatos para Facturación
24,30/01/2015,9:00,13:00,4:00,4,0,Desarrollo,Programación de Aplicación para Descargar Consumo de Cédulas Unicas desde WebService de DNRPA
